A	Agriculture, forestry and fishing 
B-E	Industry (except construction) 
C	Manufacturing 
F	Construction 
G-J	Wholesale and retail trade; transport; accommodation and food service activities; information and communication 
G-I	Wholesale and retail trade, transport, accomodation and food service activities 
J	Information and communication 
K-N	Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service a... 
K	Financial and insurance activities 
L	Real estate activities 
M_N	Professional, scientific and technical activities; administrative and support service activities 
O-U	Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreati... 
O-Q	Public administration, defence, education, human health and social work activities 
R-U	Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies 
